dataset,data_type,function,model,score,concept_score,score_avg,score_fmted
cebab,D,PLMs,bert-base-uncased,"[(0.7027827116637063, 0.8096995129717875)]",[],"(70.27827116637063, 80.96995129717875)",70.28/80.97
cebab,D^,PLMs,bert-base-uncased,"[(0.7062314540059347, 0.8116591875411228)]",[],"(70.62314540059347, 81.16591875411228)",70.62/81.17
cebab,D,PLMs,roberta-base,"[(0.709295441089402, 0.8140057442070574)]",[],"(70.9295441089402, 81.40057442070574)",70.93/81.40
cebab,D^,PLMs,roberta-base,"[(0.7246290801186943, 0.8203548839428916)]",[],"(72.46290801186943, 82.03548839428916)",72.46/82.04
cebab,D,PLMs,gpt2,"[(0.6915334517465956, 0.8008217891969565)]",[],"(69.15334517465956, 80.08217891969565)",69.15/80.08
cebab,D^,PLMs,gpt2,"[(0.6747774480712166, 0.7936485407453789)]",[],"(67.47774480712167, 79.36485407453789)",67.48/79.36
cebab,D,PLMs,lstm,"[(0.35109532267613974, 0.514774255697122)]",[],"(35.10953226761397, 51.477425569712196)",35.11/51.48
cebab,D^,PLMs,lstm,"[(0.27299703264094954, 0.40265907279684593)]",[],"(27.299703264094955, 40.26590727968459)",27.30/40.27
imdb,D,PLMs,bert-base-uncased,"[(0.68, 0.6527777777777778)]",[],"(68.0, 65.27777777777779)",68.00/65.28
imdb,D^,PLMs,bert-base-uncased,"[(0.898, 0.897989798979898)]",[],"(89.8, 89.7989798979898)",89.80/89.80
imdb,D,PLMs,roberta-base,"[(0.84, 0.8333333333333334)]",[],"(84.0, 83.33333333333334)",84.00/83.33
imdb,D^,PLMs,roberta-base,"[(0.936, 0.9359959037378391)]",[],"(93.60000000000001, 93.59959037378391)",93.60/93.60
imdb,D,PLMs,gpt2,"[(0.8, 0.7877758913412564)]",[],"(80.0, 78.77758913412563)",80.00/78.78
imdb,D^,PLMs,gpt2,"[(0.88, 0.8799923195084485)]",[],"(88.0, 87.99923195084484)",88.00/88.00
imdb,D,PLMs,lstm,"[(0.64, 0.3902439024390244)]",[],"(64.0, 39.02439024390244)",64.00/39.02
imdb,D^,PLMs,lstm,"[(0.514, 0.3394980184940555)]",[],"(51.4, 33.949801849405546)",51.40/33.95
cebab,D,CBE-PLMs,bert-base-uncased,"[(0.7039668442865601, 0.8110209238167883)]","[(0.8404381290704559, 0.8601592263065888)]","(70.39668442865602, 81.10209238167883)",70.40/81.10
cebab,D^,CBE-PLMs,bert-base-uncased,"[(0.7192878338278932, 0.8200957862906971)]","[(0.8378041543026706, 0.7731835520708564)]","(71.92878338278932, 82.00957862906971)",71.93/82.01
cebab,D,CBE-PLMs,roberta-base,"[(0.7164002368265245, 0.8175423800819)]","[(0.8664890467732386, 0.8842274761103827)]","(71.64002368265245, 81.75423800819)",71.64/81.75
cebab,D^,CBE-PLMs,roberta-base,"[(0.7270029673590505, 0.8217072203770694)]","[(0.7822551928783382, 0.6831898259163441)]","(72.70029673590504, 82.17072203770695)",72.70/82.17
cebab,D,CBE-PLMs,gpt2,"[(0.6625222024866785, 0.7805676725642368)]","[(0.8500592066311426, 0.8697361931146256)]","(66.25222024866785, 78.05676725642368)",66.25/78.06
cebab,D^,CBE-PLMs,gpt2,"[(0.6617210682492581, 0.7838149068621523)]","[(0.8861721068249259, 0.8527539132644315)]","(66.17210682492582, 78.38149068621523)",66.17/78.38
cebab,D,CBE-PLMs,lstm,"[(0.42391947898164595, 0.6246542744385499)]","[(0.6338069863824748, 0.6583478179990601)]","(42.391947898164595, 62.46542744385499)",42.39/62.47
cebab,D^,CBE-PLMs,lstm,"[(0.4195845697329377, 0.6278305874187152)]","[(0.7731157270029674, 0.663665014807404)]","(41.958456973293764, 62.78305874187152)",41.96/62.78
imdb,D,CBE-PLMs,bert-base-uncased,"[(0.84, 0.8263888888888888)]","[(0.59, 0.6783491849281322)]","(84.0, 82.63888888888889)",84.00/82.64
imdb,D^,CBE-PLMs,bert-base-uncased,"[(0.9, 0.8999423668032787)]","[(0.77675, 0.8020176811834002)]","(90.0, 89.99423668032787)",90.00/89.99
imdb,D,CBE-PLMs,roberta-base,"[(0.96, 0.9575551782682512)]","[(0.65, 0.7285105728894429)]","(96.0, 95.75551782682513)",96.00/95.76
imdb,D^,CBE-PLMs,roberta-base,"[(0.926, 0.9259641666566618)]","[(0.81775, 0.8392145325390993)]","(92.60000000000001, 92.59641666566618)",92.60/92.60
imdb,D,CBE-PLMs,gpt2,"[(0.72, 0.6880570409982174)]","[(0.62, 0.7066056669849954)]","(72.0, 68.80570409982174)",72.00/68.81
imdb,D^,CBE-PLMs,gpt2,"[(0.904, 0.9039938556067588)]","[(0.7845, 0.810609908793506)]","(90.4, 90.39938556067588)",90.40/90.40
imdb,D,CBE-PLMs,lstm,"[(0.52, 0.5)]","[(0.44, 0.5704856439668708)]","(52.0, 50.0)",52.00/50.00
imdb,D^,CBE-PLMs,lstm,"[(0.746, 0.7457060361778216)]","[(0.68375, 0.6952048694542773)]","(74.6, 74.57060361778215)",74.60/74.57
cebab,D^,CBE-PLMs-CM,bert-base-uncased,"[(0.6379821958456974, 0.7556524267564152), (0.7026706231454006, 0.807399468497913), (0.7044510385756677, 0.8068202029190447), (0.7074183976261128, 0.8126821561468682), (0.7080118694362018, 0.8109381329652321), (0.7014836795252225, 0.8092378880869691), (0.7026706231454006, 0.8103392553114602), (0.7026706231454006, 0.8108317458980242), (0.7020771513353116, 0.8108343001347922), (0.712166172106825, 0.8137545351215341), (0.7163204747774481, 0.8175690385098582), (0.7127596439169139, 0.8172470274749128), (0.7115727002967359, 0.8152346909891595), (0.7109792284866469, 0.8147125926947337), (0.7068249258160237, 0.8123650557236786), (0.7091988130563798, 0.8155454758047987), (0.7103857566765579, 0.8142377344217065), (0.7210682492581603, 0.8195104460711603), (0.7068249258160237, 0.8140201388351077), (0.7086053412462908, 0.8144648091286296)]","[(0.6324629080118694, 0.5932612847146537), (0.6981008902077152, 0.6259381325972255), (0.684213649851632, 0.6248467355825168), (0.6968545994065282, 0.6358546006469878), (0.7163204747774481, 0.6502537873158888), (0.7207121661721069, 0.6579545945136328), (0.7240356083086054, 0.6571274343664879), (0.7286053412462908, 0.6570207900146516), (0.7317507418397626, 0.6578869333481617), (0.7373887240356083, 0.6611468321901993), (0.7370919881305638, 0.6595654021880831), (0.7435014836795252, 0.6602529361344788), (0.7510385756676558, 0.6635490716444208), (0.7621364985163205, 0.6696230447818475), (0.7529970326409495, 0.6628688151647993), (0.7650445103857567, 0.6680537655521279), (0.769139465875371, 0.6717171405288375), (0.7670623145400594, 0.6647829381556137), (0.7639762611275964, 0.6646424368671924), (0.7671216617210682, 0.6678778354017328)]","(70.48071216617211, 81.01698560745999)",70.48/81.02
cebab,D^,CBE-PLMs-CM,roberta-base,"[(0.6652818991097923, 0.7803977939331307), (0.7002967359050445, 0.8009500316332103), (0.7228486646884273, 0.8227955335847718), (0.741246290801187, 0.8336198553910703), (0.743620178041543, 0.8355854197542982), (0.713353115727003, 0.8174370465675214), (0.7252225519287834, 0.8210037289300463), (0.7204747774480712, 0.8214321139394425), (0.7228486646884273, 0.8218055814429931), (0.7281899109792285, 0.826074903194112), (0.7287833827893175, 0.8257734306927735), (0.7293768545994065, 0.8255450106977662), (0.7430267062314541, 0.8346683690468527), (0.7151335311572701, 0.8194050670427633), (0.7287833827893175, 0.8236853062841305), (0.7275964391691395, 0.8269200410304312), (0.7246290801186943, 0.823044959371029), (0.7032640949554896, 0.8119797856051438), (0.7347181008902077, 0.8278830346568935), (0.7270029673590505, 0.8251894829531039)]","[(0.6439762611275964, 0.5361063625793064), (0.6889614243323442, 0.5687686059987404), (0.67513353115727, 0.5773874641270725), (0.7008308605341246, 0.5969800148430339), (0.7004154302670623, 0.6032601185729624), (0.7172106824925816, 0.6079018892012659), (0.7290801186943621, 0.617304505941889), (0.7326409495548961, 0.6248665174805361), (0.727240356083086, 0.6178002943416546), (0.7359643916913946, 0.6227024258861396), (0.7336498516320474, 0.6194816445762336), (0.7424925816023739, 0.6282236044305186), (0.7399406528189911, 0.6242144549374344), (0.7470623145400593, 0.6329348777032346), (0.7439169139465875, 0.6363311729701107), (0.7390504451038575, 0.6207271930465008), (0.7465281899109792, 0.631996158038913), (0.7542433234421365, 0.6418069102924061), (0.7536498516320475, 0.6426879956549238), (0.7562611275964392, 0.6434413789992554)]","(72.22848664688428, 82.12598247875744)",72.23/82.13
cebab,D^,CBE-PLMs-CM,gpt2,"[(0.6017804154302671, 0.7308845955576979), (0.6178041543026707, 0.7479919524075933), (0.68486646884273, 0.7966798401707185), (0.6706231454005934, 0.7850967421198627), (0.6646884272997032, 0.7883394066008418), (0.6931750741839763, 0.8044707437749524), (0.6611275964391692, 0.7873244731946937), (0.6498516320474778, 0.7628867807962904), (0.6694362017804154, 0.7848069084824724), (0.6320474777448071, 0.7666206171279537), (0.6581602373887241, 0.7850392630451483), (0.6688427299703265, 0.7916727031065282), (0.684272997032641, 0.798147429989333), (0.6623145400593472, 0.7831447811984472), (0.6759643916913947, 0.7837060550900082), (0.655786350148368, 0.7840354429597709), (0.6035608308605341, 0.745226701126064), (0.6700296735905045, 0.784473104725304), (0.6640949554896143, 0.7789907192000243), (0.6593471810089021, 0.7796020205000788)]","[(0.6662314540059348, 0.6048717808839994), (0.7111572700296735, 0.6489048437428959), (0.7564985163204748, 0.6567987621916295), (0.7616023738872404, 0.6509955374152537), (0.7617210682492581, 0.6527304044524161), (0.7661721068249259, 0.6579056607361244), (0.7659940652818991, 0.6592907933928491), (0.7651632047477744, 0.66446776081432), (0.7682492581602374, 0.6543210242190832), (0.7668249258160237, 0.6597809517303753), (0.7734718100890208, 0.6590441329269733), (0.7748367952522255, 0.6580206655973512), (0.7765578635014837, 0.6662132360023678), (0.7744213649851632, 0.6558098810948634), (0.7777448071216617, 0.6670050059451341), (0.7797032640949555, 0.6641308227564501), (0.7790504451038576, 0.6549585497209907), (0.778813056379822, 0.6755254120892976), (0.7783382789317508, 0.6626174432574715), (0.7804154302670623, 0.6682327911941135)]","(65.73887240356083, 77.84570140586891)",65.74/77.85
