text,label,FC,CC,TU,CP,R,DU,EE,FR
"Q: How can you implement a queue with a list?
A: You can use list to represent the items in a queue.",2,2,0,2,0,2,0,0,1
"Q: What is a pointer?
A: A pointer is a variable that contains the memory address of a given value.",5,1,1,1,1,1,1,0,1
"Q: What are the similarities between iteration and recursion?
A: Both rely on repetition, both have a base case, both can become an infinite loop. Anything recursive can also be solved with iteration.",5,1,1,1,1,2,1,0,2
"Q: How do you delete a node from a binary search tree?
A: You search the tree for the node using recursion. When you find the node, you determine whether it is a leaf or a internal node. If it is a leaf, you just delete it and set the parent pointer to that node to NULL. If it is a  node, you replace the node with either of the children nodes.",4,0,0,2,0,1,0,0,1
"Q: How are objects initialized when they are created?
A: They are initialized as a named instance of the template formed by the class. This named instance can then be modified to be different from the class that it was created from.",3,0,0,2,0,0,0,0,2
"Q: What is the main difference between a while and a do...while statement?
A: The main difference between a while and a do...while loop is that the do...while loop always cycles through the loop at least once, but the while loop does not always do so.",5,1,1,1,1,1,1,0,2
"Q: What is a queue?
A: It is a ""first in first out"" data structure.  It can be implemented with either a linked list or an array.",5,1,2,1,1,1,2,0,1
"Q: What is the base case for a recursive implementation of merge sort?
A: the size of the list being sent is &lt;= 1",4,1,2,1,1,1,1,0,1
"Q: What does a function signature include?
A: function name, and input paramaters",5,2,2,2,2,1,2,0,1
"Q: What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?
A: it could be considered that having only one item would be the easiest to sort, but this could also be a trivial result as nothing is moved  having two items allows the algorithm to sort the items into the correct order",2,0,0,2,0,2,0,2,2
"Q: What is the role of a prototype program in problem solving?
A: it simulates the behavior of portions of the desired software product",5,1,1,1,1,1,1,0,1
"Q: What is a variable?
A: #NAME?",4,0,0,0,0,0,0,0,1
"Q: How are overloaded functions differentiated by the compiler?
A: The number and type of its parameters.",5,1,2,2,1,1,2,0,1
"Q: What is the difference between a function prototype and a function definition?
A: function prototype describes a classes interface without reviling whatever is inside as for the function definition can't do that.",4,0,0,0,0,2,0,0,2
"Q: What is the base case for a recursive implementation of merge sort?
A: O(nlog(n))",2,0,0,0,0,0,0,0,1
"Q: How are arrays passed to functions?
A: In two parts, the array itself, and it's size, so that the function it's being passed to can avoid out of bounds errors.",4,0,0,0,0,0,0,2,2
"Q: What is the main difference between strings declared using the type string versus strings declared using an array of characters?
A: an array of characters has one element a string doesnt have. it is the termination element, or ""null""",5,1,1,1,2,1,1,0,1
"Q: What is the main difference between a string of characters that is read into a variable of type string versus a variable of type char[]?
A: A string of characters is a specific variable type that has no extra data at the end. A string of type char[] is all the characters and a null ('\0')",5,1,1,1,2,1,1,0,1
"Q: What is a recursive function?
A: A recursive function is a function that calls itself repeatedly until a base case is achieved. The fundamental idea is to break one large problem into a series of smaller, similar problems.",5,1,1,1,1,1,1,2,1
"Q: How does the compiler handle inline functions?
A: Compiler generate a copy of the function's code in place (when appropriate) to avoid a function call",5,1,1,1,1,1,1,2,1
"Q: How can you implement a queue with a list?
A: Implement a linked list that only allows nodes to be added to the tail and can only be retrieved from the head.",4,1,2,2,2,1,2,0,1
"Q: What is the difference between an array that is declared as static and one that is not?
A: A static array retains any modified values after a function call. Automatic arrays reset to their initial values when the function ends.",4,1,1,1,1,1,1,2,1
"Q: What is the difference between a circular linked list and a basic linked list?
A: A circular linked list does not have a last element. Instead, it's last item points to the head of the list.",5,2,1,1,2,1,1,0,2
"Q: What is the main difference between strings declared using the type string versus strings declared using an array of characters?
A: cant modify individual characters of a type string array, character type array can modify individual characters",2,0,0,2,0,2,0,0,1
"Q: Where are variables declared in a C++ program?
A: anywhere, but where you declare them depends on where you want them to be accessible (their scope)",4,1,2,1,1,1,1,2,1
"Q: What does the sizeof operator return?
A: the size of the list object.",3,0,0,0,0,1,0,0,1
"Q: What is the alternative way to solve a problem that could be solved through recursive functions?
A: iterative",5,1,1,1,1,1,1,0,1
"Q: What is the main advantage of a doubly-linked list over a basic linked list?
A: they have double pointers, so each node can point forwards or backwards. Making it a little easer to get to where you need.",4,2,0,2,0,2,0,0,2
"Q: What is the difference between a data member and a local variable inside a member function?
A: A data member is globally accessible, while a local variable is only accessible inside the member function.",4,0,2,0,0,1,0,0,1
"Q: Briefly describe the divide-and-conquer paradigm.
A: to divide one larger string/line of values and sepereate them into smallers lines to easily manipulate them and then replace them in the order in which they should be.",4,0,0,0,0,2,0,0,1
"Q: What is the Euler tour traversal of a tree?
A: The Euler traversal through the tree in a rubber band style shape.",3,2,0,2,0,1,0,0,1
"Q: What is the base case for a recursive implementation of merge sort?
A: one element in an array",5,1,1,1,1,1,1,0,1
"Q: What is a binary search tree?
A: A binary search tree is a tree that also has the condition that each node may have at maximum 2 children and where the input data is compared to the data in the tree starting with the root. If the value is smaller than the root it traverses left, if it is larger it traverses right until it becomes a leaf.",4,0,2,1,2,1,0,0,2
"Q: How can you implement a queue with a list?
A: By implementing a list in which a tail pointer points to the item most recently inserted onto the back of the list and a head pointer which points to the item least recently inserted onto the list. Also, items can only be removed from the front of the list and can only be added to the back of the list.",5,1,2,2,1,1,1,0,1
"Q: How many constructors can be created for a class?
A: One",0,0,0,0,0,1,0,0,1
"Q: How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?
A: All subsequent dimensions after the first one.",5,1,1,1,1,1,1,0,1
"Q: Where are variables declared in a C++ program?
A: Variables are declared where ever it is defined either inside a block locally or outside a block globally.",4,1,1,2,2,1,1,0,1
"Q: What is a binary tree?
A: A tree where every node has no more than two children",5,1,1,1,1,1,1,0,1
