dataset,data_type,function,model,score,concept_score,score_avg,score_fmted
cebab,D,PLMs,bert-base-uncased,"[(0.6992303137951451, 0.8072454148638677)]",[],"(69.92303137951451, 80.72454148638677)",69.92/80.72
cebab,D^,PLMs,bert-base-uncased,"[(0.713946587537092, 0.8185514820468818)]",[],"(71.3946587537092, 81.85514820468818)",71.39/81.86
cebab,D,PLMs,roberta-base,"[(0.7164002368265245, 0.8162208188998561)]",[],"(71.64002368265245, 81.62208188998561)",71.64/81.62
cebab,D^,PLMs,roberta-base,"[(0.7477744807121661, 0.8400834156952468)]",[],"(74.77744807121661, 84.00834156952467)",74.78/84.01
cebab,D,PLMs,gpt2,"[(0.640615748963884, 0.7721326919508704)]",[],"(64.0615748963884, 77.21326919508704)",64.06/77.21
cebab,D^,PLMs,gpt2,"[(0.6593471810089021, 0.7811633698152888)]",[],"(65.93471810089021, 78.11633698152887)",65.93/78.12
cebab,D,PLMs,lstm,"[(0.2729425695677916, 0.40264921643459906)]",[],"(27.29425695677916, 40.26492164345991)",27.29/40.26
cebab,D^,PLMs,lstm,"[(0.27299703264094954, 0.40265907279684593)]",[],"(27.299703264094955, 40.26590727968459)",27.30/40.27
imdb,D,PLMs,bert-base-uncased,"[(0.88, 0.8726655348047538)]",[],"(88.0, 87.26655348047538)",88.00/87.27
imdb,D^,PLMs,bert-base-uncased,"[(0.888, 0.887912123104514)]",[],"(88.8, 88.7912123104514)",88.80/88.79
imdb,D,PLMs,roberta-base,"[(0.92, 0.9166666666666667)]",[],"(92.0, 91.66666666666667)",92.00/91.67
imdb,D^,PLMs,roberta-base,"[(0.926, 0.925999703998816)]",[],"(92.60000000000001, 92.5999703998816)",92.60/92.60
imdb,D,PLMs,gpt2,"[(0.8, 0.7771836007130125)]",[],"(80.0, 77.71836007130125)",80.00/77.72
imdb,D^,PLMs,gpt2,"[(0.894, 0.8939656448689375)]",[],"(89.4, 89.39656448689375)",89.40/89.40
imdb,D,PLMs,lstm,"[(0.64, 0.5714285714285714)]",[],"(64.0, 57.14285714285714)",64.00/57.14
imdb,D^,PLMs,lstm,"[(0.826, 0.8256925216081168)]",[],"(82.6, 82.56925216081169)",82.60/82.57
cebab,D,CBE-PLMs,bert-base-uncased,"[(0.7110716400236826, 0.8134092873046178)]","[(0.5410005920663115, 0.6175371773441)]","(71.10716400236826, 81.34092873046178)",71.11/81.34
cebab,D^,CBE-PLMs,bert-base-uncased,"[(0.7032640949554896, 0.8114278427444714)]","[(0.7248071216617211, 0.6409289290463019)]","(70.32640949554896, 81.14278427444714)",70.33/81.14
cebab,D,CBE-PLMs,roberta-base,"[(0.7104795737122558, 0.8157970295086706)]","[(0.47202486678507993, 0.535290086132583)]","(71.04795737122558, 81.57970295086706)",71.05/81.58
cebab,D^,CBE-PLMs,roberta-base,"[(0.7252225519287834, 0.8253128611355278)]","[(0.7246884272997033, 0.6411328135183838)]","(72.52225519287833, 82.53128611355278)",72.52/82.53
cebab,D,CBE-PLMs,gpt2,"[(0.6601539372409709, 0.7857213306074311)]","[(0.5950266429840142, 0.6484324818409132)]","(66.0153937240971, 78.57213306074311)",66.02/78.57
cebab,D^,CBE-PLMs,gpt2,"[(0.6741839762611276, 0.7871954166135184)]","[(0.5223145400593472, 0.5567186949140464)]","(67.41839762611276, 78.71954166135184)",67.42/78.72
cebab,D,CBE-PLMs,lstm,"[(0.4712847838957963, 0.6273610280156947)]","[(0.6133806986382475, 0.6548170054478518)]","(47.128478389579634, 62.73610280156947)",47.13/62.74
cebab,D^,CBE-PLMs,lstm,"[(0.27299703264094954, 0.40265907279684593)]","[(0.7583382789317508, 0.5806587873347931)]","(27.299703264094955, 40.26590727968459)",27.30/40.27
imdb,D,CBE-PLMs,bert-base-uncased,"[(0.8, 0.7877758913412564)]","[(0.4, 0.5294919796614884)]","(80.0, 78.77758913412563)",80.00/78.78
imdb,D^,CBE-PLMs,bert-base-uncased,"[(0.902, 0.9019682377090177)]","[(0.72775, 0.7652473332667044)]","(90.2, 90.19682377090177)",90.20/90.20
imdb,D,CBE-PLMs,roberta-base,"[(0.84, 0.8376623376623377)]","[(0.44, 0.5656136720199242)]","(84.0, 83.76623376623377)",84.00/83.77
imdb,D^,CBE-PLMs,roberta-base,"[(0.928, 0.9278337289114119)]","[(0.70625, 0.7427271630534441)]","(92.80000000000001, 92.7833728911412)",92.80/92.78
imdb,D,CBE-PLMs,gpt2,"[(0.84, 0.8015873015873016)]","[(0.36, 0.49849772382974283)]","(84.0, 80.15873015873017)",84.00/80.16
imdb,D^,CBE-PLMs,gpt2,"[(0.898, 0.8979800040807999)]","[(0.6665, 0.6149106150550874)]","(89.8, 89.79800040807999)",89.80/89.80
imdb,D,CBE-PLMs,lstm,"[(0.6, 0.5833333333333333)]","[(0.47, 0.594806562345881)]","(60.0, 58.33333333333333)",60.00/58.33
imdb,D^,CBE-PLMs,lstm,"[(0.826, 0.8259937357744879)]","[(0.70475, 0.7107047616926607)]","(82.6, 82.59937357744879)",82.60/82.60
cebab,D^,CBE-PLMs-CM,bert-base-uncased,"[(0.5970326409495549, 0.7324064009901698), (0.6747774480712166, 0.7835409568568676), (0.6908011869436201, 0.8020178802504526), (0.6753709198813056, 0.795586436170572), (0.68486646884273, 0.7983152697190372), (0.6967359050445104, 0.8064254851083614), (0.6896142433234421, 0.8007755322981641), (0.7032640949554896, 0.8128607974194668), (0.7097922848664688, 0.8158059047671908), (0.6985163204747774, 0.8094269286346598), (0.7115727002967359, 0.8157944795091538), (0.6872403560830861, 0.7998577695506988), (0.7181008902077152, 0.8209964502219584), (0.6955489614243323, 0.8025312620169384), (0.7044510385756677, 0.8123280523730146), (0.6967359050445104, 0.803853593096194), (0.6997032640949555, 0.808033535975242), (0.6973293768545994, 0.8073932966467053), (0.6991097922848665, 0.808115684251068), (0.6967359050445104, 0.8067104947788902)]","[(0.6116913946587537, 0.5856911065142187), (0.6256973293768546, 0.5922611708709108), (0.6708011869436202, 0.6243991712854363), (0.68486646884273, 0.641240198487728), (0.6713353115727003, 0.6303537144158988), (0.6862908011869436, 0.6343634895364713), (0.7094362017804154, 0.6334986656401113), (0.7147181008902077, 0.633777080832837), (0.7271810089020772, 0.6369247949790694), (0.7350148367952523, 0.642787499045406), (0.7347181008902077, 0.6377438045539089), (0.7364985163204748, 0.6295573148065396), (0.7409495548961424, 0.6352503949404057), (0.7386350148367953, 0.6311253043433372), (0.7445697329376855, 0.6327551009641026), (0.7418397626112759, 0.6150151669215214), (0.7575074183976261, 0.6343153492438165), (0.7499109792284866, 0.6177065102287371), (0.7617210682492581, 0.6199030071785869), (0.7669436201780415, 0.6365874333778047)]","(69.13649851632047, 80.21388105317403)",69.14/80.21
cebab,D^,CBE-PLMs-CM,roberta-base,"[(0.5881305637982196, 0.7216814686022992), (0.7210682492581603, 0.819964576675922), (0.713353115727003, 0.819650227637041), (0.713353115727003, 0.8169472436857783), (0.7210682492581603, 0.8243481843361762), (0.7020771513353116, 0.8109635944504003), (0.6896142433234421, 0.801697671888886), (0.7032640949554896, 0.8123567520561752), (0.6913946587537092, 0.8053058606461452), (0.712166172106825, 0.814138869026548), (0.6985163204747774, 0.8077520090123198), (0.6908011869436201, 0.8064829486770627), (0.7163204747774481, 0.8189948859688132), (0.7246290801186943, 0.8228685437515232), (0.7198813056379822, 0.821607387105867), (0.7370919881305638, 0.8322331770368795), (0.7222551928783383, 0.8191030305430106), (0.7204747774480712, 0.8232726252097468), (0.7086053412462908, 0.8133422345206631), (0.713946587537092, 0.8158157792104147)]","[(0.5700296735905045, 0.5742000999085161), (0.644807121661721, 0.6195665459432163), (0.6976854599406528, 0.6492666533755782), (0.7059940652818991, 0.6512044374239689), (0.6875370919881305, 0.6415914923328584), (0.6903264094955489, 0.6413466330394332), (0.6949554896142434, 0.6387051502620138), (0.7065875370919882, 0.6428442370335429), (0.7175074183976261, 0.6489367094933611), (0.7033827893175074, 0.6463899544957633), (0.7109792284866469, 0.6436592937484047), (0.7176854599406528, 0.6501971266116742), (0.7249851632047478, 0.6599582292234648), (0.7293175074183976, 0.6619702654135594), (0.7252818991097922, 0.6491522251533058), (0.7259940652818991, 0.6548205868565263), (0.7328783382789318, 0.6575320867382478), (0.72486646884273, 0.6555979189738056), (0.7340059347181009, 0.6593288025132217), (0.733293768545994, 0.6599457366196951)]","(70.540059347181, 81.14263535020837)",70.54/81.14
